class,name,name_en,Y,,X,,H
カルスト地形,秋吉台,Akiyoshi,131.308305,",",34.250719,",",80000
カルスト地形,平尾台,Hirao,130.901132,",",33.755856,",",80000
カルスト地形,四国カルスト（大野ヶ原）,Shikoku,132.875622,",",33.478656,",",80000
カルスト地形,近江カルスト（霊仙山）,Omi,136.376729,",",35.280293,",",80000
カルスト地形,武甲山,Buko,139.097729,",",35.951643,",",80000
カルスト地形,南大東島,Minamidaito,131.244355,",",25.84163,",",80000
カルスト地形,ハロン湾,Ha Long Bay,107.2,",",20.9,",",80000
カルスト地形,桂林,Guilin,110.296,",",25.275,",",80000
カルスト地形,石林,Shilin,103.3237,",",24.8168,",",80000
カルスト地形,チョコレート・ヒルズ,Chocolate Hills,124.168427,",",9.798302,",",80000
カルスト地形,グヌンキダル,Gunungkidul,110.693617,",",-8.102422,",",80000
カルスト地形,ディナルアルプス山麓・カルスト台地,Dinaric Alps,13.866667,",",45.7,",",80000
カルスト地形,アグテレク・カルストとスロバキア・カルストの洞窟群,Caves of Aggtelek Karst and Slovak Karst,20.486944,",",48.475833,",",80000
カルスト地形,Ingleborough（ヨークシャー）,Ingleborough,-2.397778,",",54.166389,",",80000
カルスト地形,Peak District（イギリス）,Peak District,-1.833333,",",53.35,",",80000
カルスト地形,マンモス・ケーブ国立公園（ケンタッキー）,Mammoth Cave National Park,-86.101111,",",37.186944,",",80000
カルスト地形,Dunbar Cave State Park（テネシー）,Dunbar Cave State Park,-87.3059,",",36.5503,",",80000
カルスト地形,イク・キル（ユカタン半島北部）,Ik Kil,-88.550465,",",20.660896,",",80000
カルスト地形,Cockpit Country（ジャマイカ）,Cockpit Country,-77.695313,",",18.295209,",",80000
カルスト地形,Rio Abajo State Forest（プエルトリコ）,Rio Abajo State Forest,-66.699722,",",18.339722,",",80000
ポリエ,Livanjsko Polje,Livanjsko Polje,17.008961,",",43.831858,",",80000
ポリエ,Popovo Polje,Popovo Polje,17.795513,",",42.966284,",",80000
ポリエ,Licko Polje,Licko Polje,15.3445,",",44.5786,",",80000
